source,destination,booking_date,travel_date,price
bom,knu,2024-09-08,2024-11-17,8203
bom,knu,2024-09-08,2025-06-18,5641
bom,knu,2024-09-08,2025-03-19,5641
bom,knu,2024-09-08,2025-04-05,5641
bom,knu,2024-09-08,2025-04-22,5641
bom,knu,2024-09-08,2025-04-21,5641
bom,knu,2024-09-08,2024-11-08,7148
bom,knu,2024-09-08,2025-01-26,5641
bom,knu,2024-09-08,2024-12-23,10312
bom,knu,2024-09-08,2025-02-08,5641
bom,knu,2024-09-08,2025-01-05,5339
bom,knu,2024-09-08,2025-04-08,5641
bom,knu,2024-09-08,2024-10-07,5339
bom,knu,2024-09-08,2024-10-02,5641
bom,knu,2024-09-08,2025-05-27,5641
bom,knu,2024-09-08,2025-06-15,5641
bom,knu,2024-09-08,2025-05-28,5641
bom,knu,2024-09-08,2024-09-19,5365
bom,knu,2024-09-08,2025-06-11,5641
bom,knu,2024-09-08,2025-05-19,5641
bom,knu,2024-09-08,2025-06-01,5641
bom,knu,2024-09-08,2025-03-07,5641
bom,knu,2024-09-08,2024-12-16,5339
bom,knu,2024-09-08,2024-10-25,15285
bom,knu,2024-09-08,2025-03-05,5641
bom,knu,2024-09-08,2025-02-13,5641
bom,knu,2024-09-08,2025-04-03,5641
bom,knu,2024-09-08,2025-04-04,5641
bom,knu,2024-09-08,2025-06-21,5641
bom,knu,2024-09-08,2025-05-18,5641
bom,knu,2024-09-08,2024-12-30,5339
bom,knu,2024-09-08,2025-01-08,5339
bom,knu,2024-09-08,2025-01-15,5641
bom,knu,2024-09-08,2025-02-22,5641
bom,knu,2024-09-08,2024-09-11,5666
bom,knu,2024-09-08,2024-11-29,6243
bom,knu,2024-09-08,2025-05-26,5641
bom,knu,2024-09-08,2025-01-20,5641
bom,knu,2024-09-08,2025-02-09,5641
bom,knu,2024-09-08,2025-03-23,5641
bom,knu,2024-09-08,2024-11-01,12422
bom,knu,2024-09-08,2025-02-14,5641
bom,knu,2024-09-08,2024-12-08,6243
